Nr,TID,PID,x [mm],y [mm],t [sec],I [val],Len [mm],D2S [mm],D2R [mm],D2P [mm],v [mm/sec],α [deg],Δα [deg]
1,1,1,214.578,83.088,0,33.5,0,0,NA,NA,NA,NA,NA
2,1,2,213.802,73.769,0,38.8,9.351,9.351,NA,9.351,NA,-94.764,NA
3,1,3,215.096,72.475,0,39.5,11.181,10.625,NA,1.83,NA,-45,49.764
4,1,4,216.131,79.464,0,41.9,18.246,3.943,NA,7.065,NA,81.573,126.573
5,1,5,219.755,95.512,0,53.8,34.698,13.46,NA,16.452,NA,77.276,-4.297
6,1,6,218.72,104.054,0,75.6,43.302,21.371,NA,8.604,NA,96.911,19.636
7,1,7,216.131,106.901,0,75.9,47.15,23.864,NA,3.848,NA,132.274,35.362
8,1,8,213.543,108.454,0,82.7,50.169,25.387,NA,3.019,NA,149.036,16.763
9,1,9,213.284,107.936,0,82.6,50.747,24.882,NA,0.579,NA,-116.565,94.399
10,1,10,212.508,100.43,0,57.1,58.294,17.465,NA,7.546,NA,-95.906,20.659
11,1,11,216.649,81.793,0,41.9,77.385,2.442,NA,19.091,NA,-77.471,18.435
12,1,12,216.131,72.993,0,43.2,86.201,10.214,NA,8.816,NA,-93.366,-15.895
13,1,13,215.096,72.993,0,38.4,87.236,10.108,NA,1.035,NA,180,-86.634
14,1,14,211.99,75.84,0,36.4,91.45,7.696,NA,4.214,NA,137.49,-42.51
15,1,15,209.66,87.488,0,44.2,103.328,6.599,NA,11.878,NA,101.31,-36.18
16,1,16,208.107,94.218,0,65.6,110.235,12.875,NA,6.907,NA,102.995,1.685
17,1,17,208.625,99.136,0,65.7,115.18,17.117,NA,4.945,NA,83.991,-19.004
18,1,18,209.402,96.806,0,78.2,117.636,14.663,NA,2.456,NA,-71.565,-155.556
19,1,19,210.955,92.665,0,72.2,122.059,10.24,NA,4.423,NA,-69.444,2.121
20,1,20,213.025,88.782,0,63,126.459,5.902,NA,4.4,NA,-61.928,7.516
21,1,21,214.837,87.229,0,61.9,128.845,4.15,NA,2.386,NA,-40.601,21.326
22,1,22,215.614,85.935,0,47.8,130.355,3.03,NA,1.509,NA,-59.036,-18.435
23,1,23,214.061,83.864,0,41.9,132.943,0.933,NA,2.588,NA,-126.87,-67.834
24,1,24,212.767,83.346,0,63.1,134.337,1.83,NA,1.394,NA,-158.199,-31.329
25,1,25,210.955,89.041,0,55,140.313,6.969,NA,5.976,NA,107.65,-94.151
26,1,26,211.213,99.653,0,63.1,150.928,16.904,NA,10.616,NA,88.603,-19.047
27,1,27,211.472,108.972,0,88.6,160.25,26.07,NA,9.322,NA,88.409,-0.194
28,1,28,210.696,114.148,0,91.9,165.485,31.303,NA,5.235,NA,98.531,10.122
29,1,29,208.366,119.325,0,102.4,171.162,36.766,NA,5.677,NA,114.228,15.697
30,1,30,206.296,120.878,0,100.4,173.75,38.688,NA,2.588,NA,143.13,28.902
31,1,31,207.849,117.772,0,95.8,177.223,35.331,NA,3.473,NA,-63.435,153.435
32,1,32,209.402,111.56,0,87.5,183.626,28.939,NA,6.403,NA,-75.964,-12.529
33,1,33,211.99,98.359,0,57.3,197.078,15.489,NA,13.452,NA,-78.906,-2.943
34,1,34,212.508,91.371,0,52.4,204.086,8.538,NA,7.008,NA,-85.764,-6.857
35,1,35,212.508,89.041,0,73.5,206.416,6.303,NA,2.33,NA,-90,-4.236
36,1,36,212.249,87.747,0,49.1,207.736,5.209,NA,1.32,NA,-101.31,-11.31
37,1,37,212.249,90.594,0,60.7,210.583,7.86,NA,2.847,NA,90,-168.69
38,1,38,212.508,97.583,0,65.5,217.576,14.642,NA,6.993,NA,87.879,-2.121
39,1,39,211.731,101.724,0,78.2,221.79,18.853,NA,4.214,NA,100.62,12.741
40,1,40,206.554,105.089,0,61.8,227.964,23.419,NA,6.174,NA,146.976,46.356
41,1,41,202.931,102.242,0,86.2,232.573,22.418,NA,4.609,NA,-141.843,71.181
42,1,42,202.413,96.03,0,60.3,238.806,17.762,NA,6.234,NA,-94.764,47.079
43,1,43,202.672,90.335,0,65.4,244.507,13.939,NA,5.7,NA,-87.397,7.366
44,1,44,205.778,88.264,0,62.9,248.24,10.21,NA,3.733,NA,-33.69,53.707
45,1,45,206.813,88.006,0,82.7,249.307,9.192,NA,1.067,NA,-14.036,19.654
46,1,46,209.66,88.523,0,71.3,252.201,7.33,NA,2.894,NA,10.305,24.341
47,1,47,212.508,89.041,0,59.9,255.095,6.303,NA,2.894,NA,10.305,0
48,1,48,214.061,88.264,0,58.5,256.831,5.203,NA,1.736,NA,-26.565,-36.87
49,1,49,214.578,90.335,0,56.1,258.966,7.248,NA,2.134,NA,75.964,102.529
50,1,50,213.802,97.324,0,58.5,265.997,14.257,NA,7.032,NA,96.34,20.376
51,1,51,210.955,102.242,0,84.1,271.68,19.494,NA,5.683,NA,120.069,23.728
52,1,52,209.143,101.983,0,77.1,273.51,19.662,NA,1.83,NA,-171.87,68.062
53,1,53,209.143,98.1,0,70.1,277.393,15.966,NA,3.883,NA,-90,81.87
54,1,54,209.66,93.182,0,72.1,282.338,11.229,NA,4.945,NA,-83.991,6.009
55,1,55,209.919,93.441,0,74.8,282.704,11.354,NA,0.366,NA,45,128.991
56,1,56,209.919,96.806,0,79.2,286.069,14.488,NA,3.365,NA,90,45
57,1,57,210.437,98.359,0,80.2,287.706,15.823,NA,1.637,NA,71.565,-18.435
58,1,58,209.919,101.724,0,90.8,291.111,19.21,NA,3.405,NA,98.746,27.181
59,1,59,210.437,102.242,0,101.6,291.843,19.597,NA,0.732,NA,45,-53.746
60,1,60,211.213,102.759,0,72.4,292.776,19.958,NA,0.933,NA,33.69,-11.31
61,1,61,212.249,101.465,0,86.2,294.433,18.525,NA,1.657,NA,-51.34,-85.03
62,1,62,210.955,99.653,0,72.7,296.66,16.957,NA,2.227,NA,-125.538,-74.197
63,1,63,208.625,96.547,0,75.7,300.543,14.718,NA,3.883,NA,-126.87,-1.332
64,1,64,207.331,92.924,0,80.2,304.39,12.218,NA,3.848,NA,-109.654,17.216
65,1,65,206.554,90.853,0,75.9,306.602,11.166,NA,2.212,NA,-110.556,-0.902
66,1,66,206.554,90.076,0,93.2,307.379,10.641,NA,0.777,NA,-90,20.556
67,1,67,207.849,89.041,0,90.9,309.036,8.985,NA,1.657,NA,-38.66,51.34
68,1,68,209.66,86.194,0,89.8,312.411,5.817,NA,3.375,NA,-57.529,-18.869
69,1,69,210.955,85.676,0,84.1,313.805,4.453,NA,1.394,NA,-21.801,35.727
70,1,70,210.696,90.076,0,84.1,318.213,7.995,NA,4.408,NA,93.366,115.168
71,1,71,209.402,91.629,0,58.6,320.234,9.988,NA,2.022,NA,129.806,36.439
72,1,72,208.625,95.253,0,58.1,323.94,13.544,NA,3.706,NA,102.095,-27.711
73,1,73,209.143,98.359,0,89.9,327.089,16.21,NA,3.149,NA,80.538,-21.557
74,1,74,207.59,95.771,0,71.1,330.108,14.481,NA,3.019,NA,-120.964,158.499
75,1,75,208.366,90.335,0,72.3,335.599,9.546,NA,5.491,NA,-81.87,39.094
76,1,76,208.884,86.97,0,114.4,339.003,6.892,NA,3.405,NA,-81.254,0.616
77,1,77,209.143,82.829,0,91.6,343.153,5.442,NA,4.15,NA,-86.424,-5.17
78,1,78,209.402,80.24,0,63.9,345.754,5.908,NA,2.601,NA,-84.289,2.134
79,1,79,209.402,79.982,0,68.4,346.013,6.037,NA,0.259,NA,-90,-5.711
80,1,80,209.402,83.088,0,87.1,349.119,5.177,NA,3.106,NA,90,180
81,1,81,209.402,87.488,0,85,353.519,6.794,NA,4.4,NA,90,0
82,1,82,208.625,91.888,0,63,357.987,10.625,NA,4.468,NA,100.008,10.008
83,1,83,206.296,97.583,0,63.1,364.14,16.695,NA,6.153,NA,112.249,12.241
84,1,84,204.484,101.465,0,78,368.424,20.968,NA,4.285,NA,115.017,2.768
85,1,85,202.413,104.83,0,80.5,372.375,24.915,NA,3.951,NA,121.608,6.591
86,1,86,199.307,105.348,0,77.3,375.524,26.995,NA,3.149,NA,170.538,48.93
87,1,87,195.424,105.348,0,72.3,379.407,29.367,NA,3.883,NA,180,9.462
88,1,88,191.283,104.571,0,83.1,383.621,31.69,NA,4.214,NA,-169.38,10.62
89,1,89,187.4,104.571,0,70.3,387.503,34.644,NA,3.883,NA,180,-10.62
90,1,90,178.858,105.348,0,81.9,396.08,42.088,NA,8.577,NA,174.806,-5.194
91,1,91,176.788,101.983,0,79.1,400.031,42.251,NA,3.951,NA,-121.608,63.587
92,1,92,173.423,103.018,0,79.5,403.552,45.728,NA,3.521,NA,162.897,-75.495
93,1,93,174.458,107.419,0,93.4,408.072,46.921,NA,4.52,NA,76.759,-86.138
94,1,94,176.529,109.23,0,93.4,410.824,46.165,NA,2.752,NA,41.186,-35.574
95,1,95,178.341,111.042,0,85.4,413.386,45.767,NA,2.562,NA,45,3.814
96,1,96,179.117,111.301,0,100.2,414.205,45.315,NA,0.819,NA,18.435,-26.565
97,1,97,178.341,114.407,0,94.5,417.406,47.897,NA,3.202,NA,104.036,85.601
98,1,98,177.823,111.301,0,79.4,420.555,46.335,NA,3.149,NA,-99.462,156.501
99,1,99,177.823,108.713,0,83.7,423.144,44.806,NA,2.588,NA,-90,9.462
100,1,100,177.305,105.089,0,92.3,426.804,43.282,NA,3.661,NA,-98.13,-8.13
101,1,101,177.305,103.795,0,84.3,428.098,42.639,NA,1.294,NA,-90,8.13
102,1,102,176.27,101.983,0,99.3,430.185,42.715,NA,2.087,NA,-119.745,-29.745
